type,RelNO,content,Arg1_Content,Arg2_Content
Explicit,2,结果在先,古典音乐的未来我觉得一定是跟我们现在的生活更加的紧密结合起来,因为跟我们的生活更加紧密结合起来，我觉得古典音乐它有非常好的未来，那么所以看来现在高雅艺术、流行艺术以及古典艺术跟现代艺术一个融合的一个过程和现象吧
Explicit,6,平行,这一次谭盾除了将亲自指挥演出电影《卧虎藏龙》的配乐之外,也为台湾乐迷带来了他千禧年的创作，多媒体现代歌剧《门》，其中融合了京剧表演、影视、木偶表演艺术、交响乐为一体，分别以三位东西方家誉户晓的女主
Explicit,5,解释说明,，也为台湾乐迷带来了他千禧年的创作，多媒体现代歌剧《门》,其中融合了京剧表演、影视、木偶表演艺术、交响乐为一体，分别以三位东西方家誉户晓的女主角……
Explicit,2,目的在后,行政院财经小组今天决定将要积极推动金融资产证券化，提高整体金融市场的资金运用效率，,以促进金融商品多元化和金融市场的国际化。
Explicit,5,递进,不但可以使资产管理公司发挥更大的功能，,还可以使金融机构增加流动性，
Explicit,5,递进,改善资本结构，分散风险,并且有助于金融机构降低资金的成本
Explicit,1,先序,是指金融机构的各种放款经过分类组合之后,用证券形式在市场出售
Explicit,5,实例在后,用证券形式在市场出售,例如信用卡的放款、汽车放款以及房地产抵押放款等等都可以以发行证券的方式出售
Explicit,4,间接对比,主管机关可以依照规定先行办理,而需要修法的部分则以专案立法的方式予以落实。
Explicit,2,目的在先,为了健全金融机构的经营，并且改善金融市场，,金融主管机关包括财政部央行等等，并积极推动金融市场证券化的进度
Explicit,6,平行,为了健全金融机构的经营，,并且改善金融市场
Explicit,2,结果在先,对于国际语言学界的这项肯定,这是因为龚航曾对汉藏语的研究，突破了１００多年来的汉藏语言学
Explicit,2,目的在先,为奖励在世界有贡献的语言学者,选出荣誉会员
Explicit,5,递进,不但是台湾第一位,也是全球华人中唯一获奖的
Explicit,2,结果在先,得这个奖龚航曾实是名归,因为龚航曾在２０多年来致力于研究汉藏语学，有系统的重建构汉藏语的元音、韵味、音以及词头，可以说是还原汉藏语学的原始面貌
Explicit,5,泛化,有系统的重建构汉藏语的元音、韵味、音以及词头,可以说是还原汉藏语学的原始面貌
Explicit,1,先序,过去１００多年来，没有人能够做成的，完成的,他逐渐地把它复原出来了
Explicit,5,递进,肯定了龚航曾在历史语言学研究方法上的重要改进,还要肯定龚航曾在研究西夏语的成就
Explicit,5,递进,不止是古今研究中所难以突破的西夏语造字原则,还包括西夏文字所表现的音韵
Explicit,6,互斥选择,并不会举行颁奖,只会授予荣誉会员的头衔
Explicit,2,证据在先,不是每年都会有新会员诞生,所以更是难能可贵
Explicit,5,递进,这次在被梵蒂冈册封的一些人,更是在中国土地上奸淫抢掠、为非作歹，对中国人民犯下了不可饶恕的罪行
Explicit,5,解释说明,其历史上对中国人民犯下很多罪行,发言人说：梵蒂冈近来在对其在历史上所犯的错误进行了某种程度的忏悔，但对其历史上对中国人民犯下很多罪行，包括率先承认日本法西斯建立的伪满洲国傀儡政权，支持日本军国主义对中国的侵略战争等
Explicit,5,递进,这是中国天主教徒、基督教徒坚决反对的,也是中国人民坚决反对的。
Explicit,5,递进,梵蒂冈这样做必将激怒中国人民,并将严重阻碍中国教会的复传事业，严重危害中国教会的前途。
Explicit,6,平行,独特的产品设计风格,现代化的电子营销手段
Explicit,6,平行,现代化的电子营销手段,加上配套产业和服务设施
Explicit,2,结果在先,之所以领先,根本的还在于我们浙江区域经济活力较强
Explicit,4,间接对比,从８０年代初大型游艺机在我国兴起以来，我国游艺机生产厂家已达２００多家，每年大约有３亿人次到游乐园游玩,然而令人担忧的是，每年都有多起游艺事故发生，造成人员伤亡
Explicit,2,推论在先,据我看主要都是在设计上可能安全考虑不周，或者在制造上它的内在质量不是很高，再有就是维修保养、安全管理这块呢，存在着一些问题,最终导致出现一些事故
Explicit,6,相容选择,在设计上可能安全考虑不周,或者在制造上它的内在质量不是很高
Explicit,6,相容选择,或者在制造上它的内在质量不是很高，,再有就是维修保养、安全管理这块呢，存在着一些问题
Explicit,2,目的在后,对大型游乐设施，从设计、制造、安装、使用各个方面都提出了安全要求，特别是在设计上一定要安全可靠，在质量上呢，在制造质量上也要求达到相应的国家标准,为群众创造一个既有娱乐性、又安全可靠的游乐设施，保障游客的安全
Explicit,6,平行,既有娱乐性,又安全可靠的游乐设施
Explicit,4,间接对比,扭亏增效的口号也曾喊了好几年，药方开了无数遍,可是这些钢铁企业的面貌就是没见什么大改变。
Explicit,5,递进,企业上下从干部到职工层层落实扭亏亏损增赢目标考核责任制,并把它和加强企业领导班子建设结合起来
Explicit,1,先序,继去年扭亏之后,今年１到８月又实现利润７０００多万元。
Explicit,4,间接对比,江西７万钢铁大军并没有因此沾沾自喜,而是励精图治
Explicit,1,先序,当初，济南交警是靠规范化值勤而文明全国的,如今岗台虽然逐步撤消了
Explicit,4,间接对比,如今岗台虽然逐步撤消了,但是济南交警规范化的值勤形象却始终没有变，
Explicit,5,递进,除了保留三个形象岗以外,目前济南交警全都实行走下岗台管理。
Explicit,1,先序,走下岗台以后,济南交警推出了１＋４的新勤务管理模式
Explicit,5,解释说明,济南交警推出了１＋４的新勤务管理模式,也就是路口安排一名值勤交警指挥
Explicit,1,同步,也就是路口安排一名值勤交警指,同时以路口为中心，由四名交警骑摩托车巡查，向四周路段辐射管理，及时发现和查处交通违章，使管理由点向线延伸
Explicit,5,解释说明,在市区八条主干线实行交通信号滤波带控制,也就是一条道路的主要路口一齐亮红灯或一齐亮绿灯，让机动车在一个绿灯信号时段内，可以连续通过４、５个路口，使得交通高峰、平峰每小时通行能力分别提高了２６％和３５％。
Explicit,1,先序,实行滤波带以后,公交车不仅运行方便了
Explicit,5,递进,公交车不仅运行方便了,汽油还比原来节省了４０％
Explicit,4,间接对比,翻开历史昌都曾被称为康、洽多、洽母多，,但无论是什么称谓都没能使久居三江大地的康巴人过上真正的好日子，
Explicit,5,递进,但无论是什么称谓都没能使久居三江大地的康巴人过上真正的好日子，,，尤其是１９１８年，西藏地方政府开始在昌都进行长达３２年之久的黑暗统治，广大农牧民和奴隶在三大领主的层层盘剥下，缺吃少穿，衣不避体，过着牛马不如的生活。
Explicit,3,充分条件在先,无论是什么称谓,都没能使久居三江大地的康巴人过上真正的好日子
Explicit,2,目的在先,为了生活,村民们常常靠卖血为生
Explicit,1,先序,昌都解放和１９５９年实行民主改革以后,昌都经济得到了长足的发展，
Explicit,6,平行,是从昌都到内地,还是到拉萨
Explicit,5,递进,来来往往的人们活跃了昌都的市场经济,也改变了昌都人的思想观念
Explicit,5,递进,国家药品监督管理局日前公布了今年第三季度抽检不合格药品名单,并要求各地药品监督管理部门严厉查处
Explicit,5,解释说明,这次抽样检验共抽检１６４８９批次,其中不合格批次为６７３批，总抽检不合格批次为４．１％
Explicit,4,间接对比,对今天的消费者来说，假冒伪劣商品已经不再新鲜,但是怎样有效打击却成为一个越来越沉重的话题
Explicit,2,原因在先,因为假冒伪劣危害深广,已经严重威胁社会经济生活的正常秩序
Explicit,3,充分条件在先,凡有经济活动的地方,几乎都可以看到利欲熏心、假冒伪劣这个幽灵
Explicit,5,递进,大到工程机械、建筑建材,小到烟酒牙膏、针头线脑
Explicit,4,间接对比,每年打假的声势不可为不大,但假冒伪劣一打就跑，一松就来，周而复始
Explicit,5,递进,不仅打击不力，有的还包庇纵容,甚至从中谋取私利
Explicit,5,递进,不仅打击不力,有的还包庇纵容
Explicit,5,解释说明,实效,就是要看假冒伪劣的势头是否能得到有效遏制，要看假冒伪劣商品的大案、要案是否能得到彻底查处、要看各地区各单位各级领导干部是否能在摒弃地方保护、行业保护，树立大局意识等方面真有所突破
Explicit,6,平行,打击假冒伪劣是党和国家的钥匙，是社会主义市场经济的呼唤,也是全国人民的共同心声
Explicit,5,递进,我想对外贸易的发展可能还会略高于国民经济的增长速度,投资也将会继续有所扩大
Explicit,6,互斥选择,无论是进出口贸易,还是外资引进
Explicit,6,平行,无论是进出口贸易也好,无论是在投资的方面也好
Explicit,6,互斥选择,我们的产品的质量、档次，无论是进口,还是出口商品结构
Explicit,5,递进,要鼓励外资来进行企业的、国有企业的改组、改造、产品结构、经济结构的调整,同时呢还要中小企业间的合作。”
Explicit,6,平行,公安部门负责人在进村之前突然改变主意，不愿意当行动指挥,而无锡市质量技术监督局、医药管理局等部门组成的联合执法小组姗姗来迟
Explicit,6,互斥选择,不是积极投入行动,而是先质问国家药监局官员
Explicit,2,原因在先,执法人员的推委与拖沓,导致造假的姚氏三兄弟在执法人员的眼皮底下溜之大吉
Explicit,1,同步,两岸关系开始解冻的时候,地理距离和心理距离都最近的厦门，自然成为台湾同胞登陆的第一站
Explicit,6,平行,以办案质量,群众满意度
Explicit,2,推论在先,支持电影降低票价,理由是脱离群众实际生活水平的高价位违背了电影行业服务于人民大众的宗旨
Explicit,4,反向对比,列入目标考核的８３家医院中,污水治理达标的只３９家
Explicit,1,先序,洗肠热刚刚流行过,一种据说是降血脂的新疗法“洗血”热又在北京城中悄然兴起
Explicit,2,原因在先,因长期受工业排放废水中放射性物质的污染,河南焦作博爱县叶村村民的身体健康遭到严重损害
Explicit,3,必要条件在先,只有使经济更快发展,才能为解决各种社会经济问题保持稳定
Explicit,5,解释说明,在谈到贯彻会议精神时李瑞环说,江泽民同志的重要讲话对做好新的历史条件下的统战工作具有十分重要的指导意义，全党同志都要认真学习、深入领会、很好地贯彻落实，要注意联系实际，吃透精神，弄准情况，狠抓落实，力戒形式主义，要注意统筹兼顾，分清轻重缓急，讲究先行后序，抓住重点，兼顾其它，使各方面工作互相促进
Explicit,5,解释说明,在谈到大团结、大联合问题时李瑞环说,江泽民同志在讲话中指出，要巩固发展最广泛的爱国统一战线，就必须牢牢把握大团结、大联合这个主题
Explicit,3,充分条件在先,要巩固发展最广泛的爱国统一战线,就必须牢牢把握大团结、大联合这个主题。
Explicit,3,充分条件在先,实现大团结、大联合,必须始终着眼大多数，要把多数人的利益、多数人的愿望、多数人的意见、多数人的情绪作为我们制定政策的出发点和归宿
Explicit,5,解释说明,在谈到统战部门的工作任务时李瑞环说,统一战线由提出到现在，经历了若干历史阶段，从总体上讲，它的法宝地位没有改变，就具体政策上说，有不少问题需要进行系统深入的研究，希望统战部门的同志多花一点时间读书，多花一点时间调查，多花一点时间琢磨问题，多花一点时间研究政策，多提出一些有价值的意见建议，要按照“三个代表”的要求，把统战工作提高到一个新的水平
Explicit,2,原因在先,由于遇到不断涌出的瓦斯,出现新的困难。
Explicit,4,间接对比,抢险工作一直在紧张进行,但是由于坑道中不时有大
Explicit,2,原因在先,是由于坑道中不时有大量瓦斯,抢险队几次受阻
Explicit,5,实例在后,这两个断裂带上已经发生十几次三级以上的有感地震,其中四级以上地震有两次
Explicit,2,间接因果,据此我们分析认为,大雁煤矿发生的瓦斯突然大量涌出现象与地震活动密切相关
Explicit,5,递进,当地发生的多次地震距大雁矿区直线距离不到１００公里,而且大雁矿区在１１·２５大爆炸前后都出现过一些宏观异常现象
Explicit,5,实例在后,而且大雁矿区在１１·２５大爆炸前后都出现过一些宏观异常现,如地下水混浊，地面房屋出现裂缝，多次出现人感地震等等
Explicit,3,相关条件在先,如果有良好的通风，没有高温明火也不会引爆,那么引爆的高温明火是怎样产生的？
Explicit,3,必要条件在先,只有转变观念，更新机制,蓝欣才能再创辉煌
Explicit,1,先序,在先后拖管、兼并了省电子科研所等４家企业之后,蓝欣获得了进一步发展的空间，扩大了企业的产销规模，为企业实施科工贸一体发展的经营战略创造了条件
Explicit,5,递进,近年来一些不法分子制售假冒香烟的手段也越来越隐蔽、狡猾,而且具有一定的规模
Explicit,5,递进,工程局局长梁新相立即派车把葭总送到南京医治,病痛减轻后，梁局长又护送葭总踏上了开往酒泉工地的列车
Explicit,4,间接对比,治安科技术员朱守强和兰州姑娘刘桂芳约定春节结婚,可是由于工程需要，他离不开工地
Explicit,5,解释说明,国务院提出到２０００年底实现一控双达标,也就是全国实现主要污染物总量控制、重点城市按功能区达标、工业污染源达标排放
Explicit,5,实例在后,全国２３．８万家工业污染企业中９７．７％实现了达标排放,其中治理达标的占８０．１％，关停的占１７．６％，１．８万家重点污染企业中有９３．６％实现了达标排放
Explicit,2,结果在先,他说考虑到有的企业关停,是由于市场因素所至
Explicit,5,实例在后,已有３３个城市的地面水环境质量和２２个城市的空气质量按功能区达标,其中１８个城市的空气和水环境质量都实现功能区达标，国家环保模范城市或城区达到了１８个
Explicit,5,泛化,解振华强调我国处于人口众多，人均国民生产总值不到８００美元，企业工艺技术落后，城市基础设备建设滞后的发展阶段，在工业化、城市化快速发展，经济高速增长的情况下，全国主要污染物排放总量没有增加，反而减少了１５％左右,是我国实施可持续发展战略的重大成绩，是对世界环境保护的重要贡献
Explicit,5,递进,不仅是印度杰出的政治家,也是中国人民的好朋友。
Explicit,2,目的在先,为减轻农民负担,吉林省决定从今年起到税费改革前，全省停止一切向农民筹资的公益事业
Explicit,6,平行,９０％的乡村建立了村提留、乡统筹费预决算,和农牧民负担监督卡制度
Explicit,2,目的在后,同时青海省建立健全村务公开制度，定期向村民公开收取的款项和开支情况,防止农牧民负担的增加
Explicit,6,平行,有效的保证了“三提五统”资金的管理,和使用
Explicit,5,递进,有优势,还要有良好的科技基础
Explicit,3,必要条件在先,有优势还要有良好的科技基础,才能彻底摆脱粗放经营的局面。
Explicit,2,结果在先,这种落后的生产方式制约了农产品的出口,因为只有按照国际要求的食品的标准来提高我们的技术，改进我们整个产业的链条，使产品都达到这个标准才有可能出口。”
Explicit,2,原因在先,广东荔枝过去由于无法攻破保鲜技术,使得无法进入国际市场
Explicit,3,必要条件在先,攻克了这个技术的话,那你就成功
Explicit,6,平行,一是增加了广东农业的资金投入，近几年来广东农业的资金投入有２０％进来做顶位，,二是农村经济结构的优化
Explicit,6,平行,二是农村经济结构的优化,三是提高了广东农业的科技含量
Explicit,6,平行,三是提高了广东农业的科技含量,四是提高农业综合管理水平
Explicit,6,平行,四是提高农业综合管理水平,五是拓宽了农产品销售的国际市场。”
